time_seconds,PM3,PM4,PM5,PM6,PM7,PM8,CC8,CC9,CC10,PA1,SA1,CR1
0.000000000e+00,6.286434086e-06,-2.026815285e-06,2.813166747e-07,-1.033939149e-05,-4.638767572e-06,-4.536014365e-06,-1.346838944e-07,-2.535581724e-06,1.142664434e-05,-6.763961855e-06,1.240307629e-05,-9.168621273e-06
1.000000000e-02,5.556329701e-06,2.756728210e-06,4.119255978e-06,-1.946129470e-06,5.929700856e-06,-1.433113155e-05,-1.037913712e-05,5.343080529e-06,1.324179833e-05,1.558198390e-05,8.891860079e-06,1.113676746e-05
2.000000000e-02,2.121582872e-06,1.126549633e-05,6.165542889e-06,1.041911513e-05,4.248993167e-06,3.281555272e-06,7.103959334e-07,2.954904998e-06,6.793621338e-06,2.540593804e-06,2.239113033e-06,1.453780724e-05
3.000000000e-02,9.002790942e-06,7.245195429e-06,-8.355224068e-06,1.007982415e-05,1.009375338e-08,8.544419635e-06,-3.318708885e-07,4.127472830e-06,4.380766416e-06,1.270760921e-05,-7.480334059e-06,1.163858716e-05
4.000000000e-02,1.549300701e-07,-3.368196683e-06,8.874291839e-06,1.752939083e-05,-1.172867452e-06,1.154359360e-06,5.774916686e-06,2.684311117e-06,-1.435003110e-06,2.535125118e-06,1.302282193e-05,8.691128866e-06
5.000000000e-02,4.114450473e-06,1.274746113e-05,5.874142961e-06,6.306006862e-06,3.148272942e-06,2.025303748e-05,-2.826530689e-06,-2.303491682e-06,3.299723539e-06,-1.929974796e-06,4.489683444e-06,-7.144301002e-07
6.000000000e-02,1.202059885e-06,5.782250454e-06,-2.641037628e-06,1.120391572e-05,-1.345047942e-06,8.035961311e-06,2.368563121e-06,1.195114227e-05,-5.419483853e-06,-1.153116960e-06,7.779767484e-07,-1.027414948e-05
7.000000000e-02,-7.415252714e-06,-3.282702989e-06,7.816664945e-06,1.078046986e-05,1.904861307e-06,-1.518732752e-06,1.483319018e-06,1.519311994e-05,-1.136131249e-06,-8.958335833e-06,-9.269452922e-06,-1.023715380e-05
8.000000000e-02,1.338707075e-06,-2.173775947e-07,7.192276523e-06,4.494530366e-06,4.393902481e-06,4.336494889e-06,1.175979401e-05,6.733665678e-07,5.569670387e-06,-1.113061222e-05,7.958692975e-06,-4.411112411e-06
9.000000000e-02,-1.161861222e-05,-1.279145599e-05,3.686471380e-06,-6.930774051e-06,2.352731720e-07,-3.322293153e-06,2.151774223e-06,-1.158141785e-05,-3.742012111e-06,3.802019569e-06,1.011823043e-06,-1.036146894e-05
1.000000000e-01,-1.081682614e-05,1.268517289e-05,-2.387397259e-06,-2.900686924e-06,-1.585311067e-06,5.821290816e-06,-1.013742795e-05,6.538976280e-06,-2.340626940e-06,3.214140385e-06,-3.791488367e-06,8.815193313e-07
1.100000000e-01,-1.000269882e-06,7.965900001e-06,6.713948035e-06,3.383640378e-06,-4.988000021e-07,-1.431676043e-06,-4.775200339e-06,-6.725017591e-06,-2.796841358e-06,-4.280190553e-06,1.514847792e-06,4.833418262e-06
1.200000000e-01,1.434097020e-06,-1.044076792e-05,6.596799467e-06,-8.606846471e-07,3.864143319e-06,8.209194977e-06,-5.930249604e-06,-1.831799668e-06,7.793336190e-07,2.482765102e-06,1.873902900e-06,1.208000478e-05
1.300000000e-01,1.508868266e-05,6.006930622e-06,-5.525817714e-06,-1.475285537e-06,8.316855731e-06,9.634648084e-06,4.482941756e-06,-7.235899694e-06,-1.794777842e-06,9.586381609e-06,7.659486564e-06,-1.472958953e-05
1.400000000e-01,2.842740417e-06,1.080059989e-05,1.530895283e-06,1.497051109e-07,7.393959899e-06,2.194688726e-06,1.115257231e-05,-6.903535725e-07,8.639197580e-06,1.309007977e-05,-1.543752846e-06,1.360203513e-06
